2025-05-28 00:18:23,072 WARN  SumoAmbassador - The file scenarios/Braga/sumo/sumo_config.json does not exist.
2025-05-28 00:18:23,073 INFO  SumoAmbassador - sumoConfig.updateInterval: 1000
2025-05-28 00:18:23,073 INFO  SumoAmbassador - sumoConfig.sumoConfigurationFile: null
2025-05-28 00:18:23,075 INFO  SumoAmbassador - Found a SUMO configuration file: scenarios/Braga/sumo/highway.sumocfg
2025-05-28 00:18:23,076 INFO  SumoAmbassador - sumoConfig.sumoConfigurationFile: highway.sumocfg
2025-05-28 00:18:23,086 INFO  SumoAmbassador - Simulation step size is 1.0 sec.
2025-05-28 00:18:23,633 INFO  SumoVehicleTypesWriter - ./tmp/sumo/mosaic_types.add.xml file successfully written.
2025-05-28 00:18:23,633 INFO  SumoAmbassador - Start Federate local
2025-05-28 00:18:23,633 INFO  SumoAmbassador - Directory: ./tmp/sumo
2025-05-28 00:18:24,642 INFO  SumoAmbassador - Process sumo: Loading net-file from 'highway.net.xml' ... done (1ms).
2025-05-28 00:18:24,642 INFO  SumoAmbassador - Process sumo: Loading additional-files from 'mosaic_types.add.xml' ... done (0ms).
2025-05-28 00:18:24,642 INFO  SumoAmbassador - Process sumo: Loading additional-files from 'prog_semafores.add.xml' ... done (0ms).
2025-05-28 00:18:24,643 ERROR SumoAmbassador - Process sumo: Warning: Missing green phase in tlLogic '443800958', program '0' for tl-index 3.
2025-05-28 00:18:24,643 INFO  SumoAmbassador - Process sumo: Loading done.
2025-05-28 00:18:24,643 ERROR SumoAmbassador - Process sumo: Warning: Missing green phase in tlLogic '443800958', program '2' for tl-index 0.
2025-05-28 00:18:24,643 INFO  SumoAmbassador - Process sumo: Simulation version 1.22.0 started with time: 0.00.
2025-05-28 00:18:24,645 WARN  TraciClientBridge - This SUMO Version SUMO 1.22.0 is currently not supported (but might work anyhow).
2025-05-28 00:18:24,651 INFO  SumoAmbassador - Current API version of SUMO is 21 (=SUMO 1.19.*)
2025-05-28 00:18:24,719 WARN  TrafficLightGetControlledJunctions - Could not return list of controlled junctions for traffic light. Not implemented in SUMO yet.
2025-05-28 00:18:24,730 INFO  SumoAmbassador - TrafficLightSubscription interaction received at simulation time 0.000,000,000 s: Subscribe to Traffic light group with ID=443800958
2025-05-28 00:18:24,740 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:18:24,740 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '3'
2025-05-28 00:18:24,746 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_0" received at simulation time 5000000000 ns (subscribe=true)
2025-05-28 00:18:24,747 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_1" received at simulation time 5000000000 ns (subscribe=true)
2025-05-28 00:18:24,747 INFO  SumoAmbassador - Adding new vehicle "veh_0" at simulation time 5000000000 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:18:24,749 INFO  SumoAmbassador - Adding new vehicle "veh_1" at simulation time 5000000000 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:18:24,826 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_2" received at simulation time 15285714285 ns (subscribe=true)
2025-05-28 00:18:24,826 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_3" received at simulation time 15285714285 ns (subscribe=true)
2025-05-28 00:18:24,833 INFO  SumoAmbassador - Adding new vehicle "veh_2" at simulation time 15285714285 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:18:24,833 INFO  SumoAmbassador - Adding new vehicle "veh_3" at simulation time 15285714285 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:18:24,932 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_4" received at simulation time 25571428570 ns (subscribe=true)
2025-05-28 00:18:24,932 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_5" received at simulation time 25571428570 ns (subscribe=true)
2025-05-28 00:18:24,942 INFO  SumoAmbassador - Adding new vehicle "veh_4" at simulation time 25571428570 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:18:24,943 INFO  SumoAmbassador - Adding new vehicle "veh_5" at simulation time 25571428570 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:18:25,078 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_6" received at simulation time 35857142855 ns (subscribe=true)
2025-05-28 00:18:25,078 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_7" received at simulation time 35857142855 ns (subscribe=true)
2025-05-28 00:18:25,102 INFO  SumoAmbassador - Adding new vehicle "veh_6" at simulation time 35857142855 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:18:25,103 INFO  SumoAmbassador - Adding new vehicle "veh_7" at simulation time 35857142855 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:18:25,254 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_8" received at simulation time 46142857140 ns (subscribe=true)
2025-05-28 00:18:25,254 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_9" received at simulation time 46142857140 ns (subscribe=true)
2025-05-28 00:18:25,267 INFO  SumoAmbassador - Adding new vehicle "veh_8" at simulation time 46142857140 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:18:25,268 INFO  SumoAmbassador - Adding new vehicle "veh_9" at simulation time 46142857140 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:18:25,422 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_10" received at simulation time 56428571425 ns (subscribe=true)
2025-05-28 00:18:25,422 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_11" received at simulation time 56428571425 ns (subscribe=true)
2025-05-28 00:18:25,443 INFO  SumoAmbassador - Adding new vehicle "veh_10" at simulation time 56428571425 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:18:25,444 INFO  SumoAmbassador - Adding new vehicle "veh_11" at simulation time 56428571425 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
