2025-06-04 14:59:21,865 INFO  ROOT - Running Eclipse MOSAIC 24.0 on Java JRE v17.0.15 (Eclipse Adoptium)
2025-06-04 14:59:21,962 INFO  MosaicStarter - Federate sumo: No port given. Using free port: 38029
2025-06-04 14:59:21,983 INFO  FederationManagement - Start federation with id 'Espinho'
2025-06-04 14:59:21,984 INFO  FederationManagement - Add ambassador/federate with id 'application'
2025-06-04 14:59:21,985 INFO  FederationManagement - Add ambassador/federate with id 'mapping'
2025-06-04 14:59:21,985 INFO  FederationManagement - Add ambassador/federate with id 'sns'
2025-06-04 14:59:21,985 INFO  FederationManagement - Add ambassador/federate with id 'sumo'
2025-06-04 14:59:21,985 INFO  FederationManagement - Deploying federate 'sumo' locally in ./tmp/sumo
2025-06-04 14:59:21,991 INFO  FederationManagement - Starting federate 'sumo' locally in ./tmp/sumo
2025-06-04 14:59:21,991 INFO  FederationManagement - Add ambassador/federate with id 'output'
2025-06-04 14:59:21,991 INFO  OutputAmbassador - Initialize configuration of OutputAmbassador
2025-06-04 14:59:22,004 WARN  FileOutputLoader - decimalSeparator is required to be one character, defaulting to '.' as decimal separator.
2025-06-04 14:59:22,289 INFO  OutputAmbassador - Registered output generator 'websocket' for messages [RsuRegistration, VehicleRegistration, VehicleUpdates, V2xMessageReception, V2xMessageTransmission]. Update interval=1
2025-06-04 14:59:22,289 INFO  OutputAmbassador - Registered output generator 'fileoutput' for messages [VehicleRegistration, VehicleUpdates]. Update interval=5
2025-06-04 14:59:33,266 INFO  SequentialTimeManagement - Simulation ended after 1000s of 1000s (100%)
2025-06-04 14:59:33,266 INFO  SequentialTimeManagement - Started: 2025-06-04 14:59:22
2025-06-04 14:59:33,266 INFO  SequentialTimeManagement - Ended: 2025-06-04 14:59:33
2025-06-04 14:59:33,268 INFO  SequentialTimeManagement - Duration: 00h 00m 10.791s (RTF: 92.00)
2025-06-04 14:59:33,268 INFO  SequentialTimeManagement - 
2025-06-04 14:59:33,268 INFO  SequentialTimeManagement - Simulation finished: 101
