2025-06-04 15:01:54,242 WARN  SumoAmbassador - The file scenarios/espinho/sumo/sumo_config.json does not exist.
2025-06-04 15:01:54,242 INFO  SumoAmbassador - sumoConfig.updateInterval: 1000
2025-06-04 15:01:54,243 INFO  SumoAmbassador - sumoConfig.sumoConfigurationFile: null
2025-06-04 15:01:54,245 INFO  SumoAmbassador - Found a SUMO configuration file: scenarios/espinho/sumo/highway.sumocfg
2025-06-04 15:01:54,245 INFO  SumoAmbassador - sumoConfig.sumoConfigurationFile: highway.sumocfg
2025-06-04 15:01:54,254 INFO  SumoAmbassador - Simulation step size is 1.0 sec.
2025-06-04 15:01:54,805 INFO  SumoVehicleTypesWriter - ./tmp/sumo/mosaic_types.add.xml file successfully written.
2025-06-04 15:01:54,805 INFO  SumoAmbassador - Start Federate local
2025-06-04 15:01:54,805 INFO  SumoAmbassador - Directory: ./tmp/sumo
2025-06-04 15:01:55,818 INFO  SumoAmbassador - Process sumo: Loading net-file from 'highway.net.xml' ... done (5ms).
2025-06-04 15:01:55,818 INFO  SumoAmbassador - Process sumo: Loading additional-files from 'mosaic_types.add.xml' ... done (0ms).
2025-06-04 15:01:55,818 INFO  SumoAmbassador - Process sumo: Loading additional-files from 'prog_semafores.add.xml' ... done (0ms).
2025-06-04 15:01:55,818 INFO  SumoAmbassador - Process sumo: Loading done.
2025-06-04 15:01:55,818 ERROR SumoAmbassador - Process sumo: Warning: Missing green phase in tlLogic '443800958', program '0' for tl-index 3.
2025-06-04 15:01:55,818 INFO  SumoAmbassador - Process sumo: Simulation version 1.18.0 started with time: 0.00.
2025-06-04 15:01:55,826 INFO  SumoAmbassador - Current API version of SUMO is 20 (=SUMO 1.18.*)
2025-06-04 15:01:55,888 WARN  TrafficLightGetControlledJunctions - Could not return list of controlled junctions for traffic light. Not implemented in SUMO yet.
2025-06-04 15:01:55,899 INFO  SumoAmbassador - TrafficLightSubscription interaction received at simulation time 0.000,000,000 s: Subscribe to Traffic light group with ID=443800958
2025-06-04 15:01:55,914 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-06-04 15:01:55,914 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '3'
2025-06-04 15:01:55,925 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_0" received at simulation time 5000000000 ns (subscribe=true)
2025-06-04 15:01:55,925 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_1" received at simulation time 5000000000 ns (subscribe=true)
2025-06-04 15:01:55,926 INFO  SumoAmbassador - Adding new vehicle "veh_0" at simulation time 5000000000 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-06-04 15:01:55,929 INFO  SumoAmbassador - Adding new vehicle "veh_1" at simulation time 5000000000 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-06-04 15:01:55,978 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_2" received at simulation time 15285714285 ns (subscribe=true)
2025-06-04 15:01:55,979 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_3" received at simulation time 15285714285 ns (subscribe=true)
2025-06-04 15:01:55,982 INFO  SumoAmbassador - Adding new vehicle "veh_2" at simulation time 15285714285 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-06-04 15:01:55,983 INFO  SumoAmbassador - Adding new vehicle "veh_3" at simulation time 15285714285 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-06-04 15:01:56,029 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_4" received at simulation time 25571428570 ns (subscribe=true)
2025-06-04 15:01:56,029 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_5" received at simulation time 25571428570 ns (subscribe=true)
2025-06-04 15:01:56,034 INFO  SumoAmbassador - Adding new vehicle "veh_4" at simulation time 25571428570 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-06-04 15:01:56,035 INFO  SumoAmbassador - Adding new vehicle "veh_5" at simulation time 25571428570 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-06-04 15:01:56,079 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_6" received at simulation time 35857142855 ns (subscribe=true)
2025-06-04 15:01:56,079 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_7" received at simulation time 35857142855 ns (subscribe=true)
2025-06-04 15:01:56,085 INFO  SumoAmbassador - Adding new vehicle "veh_6" at simulation time 35857142855 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-06-04 15:01:56,086 INFO  SumoAmbassador - Adding new vehicle "veh_7" at simulation time 35857142855 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-06-04 15:01:56,143 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_8" received at simulation time 46142857140 ns (subscribe=true)
2025-06-04 15:01:56,143 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_9" received at simulation time 46142857140 ns (subscribe=true)
2025-06-04 15:01:56,149 INFO  SumoAmbassador - Adding new vehicle "veh_8" at simulation time 46142857140 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-06-04 15:01:56,150 INFO  SumoAmbassador - Adding new vehicle "veh_9" at simulation time 46142857140 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-06-04 15:01:56,207 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_10" received at simulation time 56428571425 ns (subscribe=true)
2025-06-04 15:01:56,207 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_11" received at simulation time 56428571425 ns (subscribe=true)
2025-06-04 15:01:56,212 INFO  SumoAmbassador - Adding new vehicle "veh_10" at simulation time 56428571425 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-06-04 15:01:56,213 INFO  SumoAmbassador - Adding new vehicle "veh_11" at simulation time 56428571425 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-06-04 15:01:56,273 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_12" received at simulation time 66714285710 ns (subscribe=true)
2025-06-04 15:01:56,273 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_13" received at simulation time 66714285710 ns (subscribe=true)
2025-06-04 15:01:56,280 INFO  SumoAmbassador - Adding new vehicle "veh_12" at simulation time 66714285710 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-06-04 15:01:56,281 INFO  SumoAmbassador - Adding new vehicle "veh_13" at simulation time 66714285710 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-06-04 15:01:56,329 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-06-04 15:01:56,329 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '2'
2025-06-04 15:01:56,354 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_14" received at simulation time 76999999995 ns (subscribe=true)
2025-06-04 15:01:56,354 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_15" received at simulation time 76999999995 ns (subscribe=true)
2025-06-04 15:01:56,363 INFO  SumoAmbassador - Adding new vehicle "veh_14" at simulation time 76999999995 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-06-04 15:01:56,364 INFO  SumoAmbassador - Adding new vehicle "veh_15" at simulation time 76999999995 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-06-04 15:01:56,446 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-06-04 15:01:56,446 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '3'
2025-06-04 15:01:56,484 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_16" received at simulation time 87285714280 ns (subscribe=true)
2025-06-04 15:01:56,484 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_17" received at simulation time 87285714280 ns (subscribe=true)
2025-06-04 15:01:56,497 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-06-04 15:01:56,497 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '0'
2025-06-04 15:01:56,498 INFO  SumoAmbassador - Adding new vehicle "veh_16" at simulation time 87285714280 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-06-04 15:01:56,499 INFO  SumoAmbassador - Adding new vehicle "veh_17" at simulation time 87285714280 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-06-04 15:01:56,620 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_18" received at simulation time 97571428565 ns (subscribe=true)
