2025-06-06 16:07:50,071 INFO  - Initializing RSU application... (at simulation time 0.000,000,000 s)
2025-06-06 16:07:50,074 INFO  - My position is: CartesianPoint{x=135.03,y=535.91,z=0.00} (at simulation time 0.000,000,000 s)
2025-06-06 16:07:50,121 INFO  - Sent aggregated data: r_0=0 (0.00 m/s), r_1=0 (0.00 m/s) (at simulation time 10.000,000,000 s)
2025-06-06 16:07:50,126 INFO  - Forwarded metrics to vehicles: avgR0=0.0, avgR1=0.0 (at simulation time 10.004,300,000 s)
2025-06-06 16:07:50,168 INFO  - Sent aggregated data: r_0=0 (0.00 m/s), r_1=0 (0.00 m/s) (at simulation time 20.000,000,000 s)
2025-06-06 16:07:50,170 INFO  - Forwarded metrics to vehicles: avgR0=0.0, avgR1=0.0 (at simulation time 20.002,800,000 s)
2025-06-06 16:07:50,194 INFO  - Received GreenWaveMsg from veh_1 on route r_1 with speed 0.33098286960238443 (at simulation time 26.001,900,000 s)
2025-06-06 16:07:50,194 INFO  - Sent ACK to veh_1 (at simulation time 26.001,900,000 s)
2025-06-06 16:07:50,216 INFO  - Sent aggregated data: r_0=0 (0.00 m/s), r_1=1 (0.33 m/s) (at simulation time 30.000,000,000 s)
2025-06-06 16:07:50,218 INFO  - Forwarded metrics to vehicles: avgR0=0.0, avgR1=0.3333333333333333 (at simulation time 30.002,800,000 s)
2025-06-06 16:07:50,222 INFO  - Received GreenWaveMsg from veh_1 on route r_1 with speed 0.0 (at simulation time 31.000,900,000 s)
2025-06-06 16:07:50,223 INFO  - Sent ACK to veh_1 (at simulation time 31.000,900,000 s)
2025-06-06 16:07:50,226 INFO  - Received GreenWaveMsg from veh_3 on route r_1 with speed 8.240130472091282 (at simulation time 32.001,400,000 s)
2025-06-06 16:07:50,226 INFO  - Sent ACK to veh_3 (at simulation time 32.001,400,000 s)
2025-06-06 16:07:50,241 INFO  - Ignored message from veh_0 (distance 17.73 > 15.0) (at simulation time 36.001,900,000 s)
2025-06-06 16:07:50,241 INFO  - Received GreenWaveMsg from veh_1 on route r_1 with speed 0.0 (at simulation time 36.001,900,000 s)
2025-06-06 16:07:50,241 INFO  - Sent ACK to veh_1 (at simulation time 36.001,900,000 s)
2025-06-06 16:07:50,254 INFO  - Received GreenWaveMsg from veh_3 on route r_1 with speed 5.496797876100297E-4 (at simulation time 37.002,400,000 s)
2025-06-06 16:07:50,254 INFO  - Sent ACK to veh_3 (at simulation time 37.002,400,000 s)
2025-06-06 16:07:50,264 INFO  - Sent aggregated data: r_0=0 (0.00 m/s), r_1=2 (0.00 m/s) (at simulation time 40.000,000,000 s)
2025-06-06 16:07:50,266 INFO  - Forwarded metrics to vehicles: avgR0=0.0, avgR1=0.75 (at simulation time 40.000,800,000 s)
2025-06-06 16:07:50,270 INFO  - Received GreenWaveMsg from veh_1 on route r_1 with speed 0.0 (at simulation time 41.001,400,000 s)
2025-06-06 16:07:50,270 INFO  - Sent ACK to veh_1 (at simulation time 41.001,400,000 s)
2025-06-06 16:07:50,270 INFO  - Received GreenWaveMsg from veh_0 on route r_0 with speed 0.1274923873945012 (at simulation time 41.001,900,000 s)
2025-06-06 16:07:50,270 INFO  - Sent ACK to veh_0 (at simulation time 41.001,900,000 s)
2025-06-06 16:07:50,274 INFO  - Received GreenWaveMsg from veh_3 on route r_1 with speed 0.0 (at simulation time 42.001,400,000 s)
2025-06-06 16:07:50,274 INFO  - Sent ACK to veh_3 (at simulation time 42.001,400,000 s)
2025-06-06 16:07:50,274 INFO  - Received GreenWaveMsg from veh_5 on route r_1 with speed 6.702786954442517 (at simulation time 42.001,900,000 s)
2025-06-06 16:07:50,274 INFO  - Sent program 2 to TrafficLight (at simulation time 42.001,900,000 s)
2025-06-06 16:07:50,275 INFO  - Sent ACK to veh_5 (at simulation time 42.001,900,000 s)
2025-06-06 16:07:50,293 INFO  - Ignored message from veh_1 (distance 18.87 > 15.0) (at simulation time 46.001,400,000 s)
2025-06-06 16:07:50,293 INFO  - Received GreenWaveMsg from veh_0 on route r_0 with speed 2.1974883876658432E-4 (at simulation time 46.002,400,000 s)
2025-06-06 16:07:50,294 INFO  - Sent ACK to veh_0 (at simulation time 46.002,400,000 s)
2025-06-06 16:07:50,298 INFO  - Received GreenWaveMsg from veh_2 on route r_0 with speed 2.9615058550133018 (at simulation time 47.000,900,000 s)
2025-06-06 16:07:50,298 INFO  - Sent ACK to veh_2 (at simulation time 47.000,900,000 s)
2025-06-06 16:07:50,298 INFO  - Received GreenWaveMsg from veh_5 on route r_1 with speed 7.291812807546447 (at simulation time 47.001,400,000 s)
2025-06-06 16:07:50,298 INFO  - Sent ACK to veh_5 (at simulation time 47.001,400,000 s)
2025-06-06 16:07:50,316 INFO  - Sent aggregated data: r_0=2 (1.48 m/s), r_1=1 (7.29 m/s) (at simulation time 50.000,000,000 s)
2025-06-06 16:07:50,319 INFO  - Forwarded metrics to vehicles: avgR0=0.4, avgR1=0.8 (at simulation time 50.002,300,000 s)
2025-06-06 16:07:50,324 INFO  - Received GreenWaveMsg from veh_0 on route r_0 with speed 0.0 (at simulation time 51.001,900,000 s)
2025-06-06 16:07:50,325 INFO  - Sent ACK to veh_0 (at simulation time 51.001,900,000 s)
2025-06-06 16:07:50,329 INFO  - Received GreenWaveMsg from veh_4 on route r_0 with speed 0.07093700949547038 (at simulation time 52.000,900,000 s)
2025-06-06 16:07:50,329 INFO  - Sent ACK to veh_4 (at simulation time 52.000,900,000 s)
2025-06-06 16:07:50,329 INFO  - Received GreenWaveMsg from veh_2 on route r_0 with speed 4.7331840639752324E-4 (at simulation time 52.001,900,000 s)
2025-06-06 16:07:50,329 INFO  - Sent ACK to veh_2 (at simulation time 52.001,900,000 s)
2025-06-06 16:07:50,331 INFO  - TrafficLight   set to REd. (at simulation time 52.004,200,000 s)
2025-06-06 16:07:50,348 INFO  - Received GreenWaveMsg from veh_0 on route r_0 with speed 0.0 (at simulation time 56.000,900,000 s)
2025-06-06 16:07:50,348 INFO  - Sent program 0 to TrafficLight (at simulation time 56.000,900,000 s)
2025-06-06 16:07:50,348 INFO  - Sent ACK to veh_0 (at simulation time 56.000,900,000 s)
2025-06-06 16:07:50,354 INFO  - Received GreenWaveMsg from veh_2 on route r_0 with speed 1.969915200327523 (at simulation time 57.000,400,000 s)
2025-06-06 16:07:50,354 INFO  - Sent ACK to veh_2 (at simulation time 57.000,400,000 s)
2025-06-06 16:07:50,355 INFO  - Received GreenWaveMsg from veh_7 on route r_1 with speed 0.0767135292679473 (at simulation time 57.000,900,000 s)
2025-06-06 16:07:50,355 INFO  - Sent ACK to veh_7 (at simulation time 57.000,900,000 s)
2025-06-06 16:07:50,355 INFO  - Received GreenWaveMsg from veh_4 on route r_0 with speed 0.0 (at simulation time 57.001,900,000 s)
2025-06-06 16:07:50,355 INFO  - Sent ACK to veh_4 (at simulation time 57.001,900,000 s)
