2025-06-06 17:30:48,332 INFO  - Fog Node started (at simulation time 0.000,000,000 s)
2025-06-06 17:30:48,381 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=0, route1VehicleCount=0, avgRoute0VehicleCount=0.00, avgRoute1VehicleCount=0.00 (at simulation time 10.001,900,000 s)
2025-06-06 17:30:48,381 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=0.00, avgRoute1VehicleCount=0.00 (at simulation time 10.001,900,000 s)
2025-06-06 17:30:48,426 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=0, route1VehicleCount=0, avgRoute0VehicleCount=0.00, avgRoute1VehicleCount=0.00 (at simulation time 20.001,400,000 s)
2025-06-06 17:30:48,426 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=0.00, avgRoute1VehicleCount=0.00 (at simulation time 20.001,400,000 s)
2025-06-06 17:30:48,472 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=0, route1VehicleCount=1, avgRoute0VehicleCount=0.00, avgRoute1VehicleCount=0.33 (at simulation time 30.001,400,000 s)
2025-06-06 17:30:48,472 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=0.00, avgRoute1VehicleCount=0.33 (at simulation time 30.001,400,000 s)
2025-06-06 17:30:48,521 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=0, route1VehicleCount=2, avgRoute0VehicleCount=0.00, avgRoute1VehicleCount=0.75 (at simulation time 40.000,400,000 s)
2025-06-06 17:30:48,521 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=0.00, avgRoute1VehicleCount=0.75 (at simulation time 40.000,400,000 s)
2025-06-06 17:30:48,577 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=2, route1VehicleCount=1, avgRoute0VehicleCount=0.40, avgRoute1VehicleCount=0.80 (at simulation time 50.000,400,000 s)
2025-06-06 17:30:48,578 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=0.40, avgRoute1VehicleCount=0.80 (at simulation time 50.000,400,000 s)
2025-06-06 17:30:48,641 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=2, route1VehicleCount=1, avgRoute0VehicleCount=0.67, avgRoute1VehicleCount=0.83 (at simulation time 60.000,400,000 s)
2025-06-06 17:30:48,641 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=0.67, avgRoute1VehicleCount=0.83 (at simulation time 60.000,400,000 s)
2025-06-06 17:30:48,715 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=1, route1VehicleCount=2, avgRoute0VehicleCount=0.71, avgRoute1VehicleCount=1.00 (at simulation time 70.000,400,000 s)
2025-06-06 17:30:48,715 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=0.71, avgRoute1VehicleCount=1.00 (at simulation time 70.000,400,000 s)
2025-06-06 17:30:48,791 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=2, route1VehicleCount=1, avgRoute0VehicleCount=0.88, avgRoute1VehicleCount=1.00 (at simulation time 80.001,400,000 s)
2025-06-06 17:30:48,791 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=0.88, avgRoute1VehicleCount=1.00 (at simulation time 80.001,400,000 s)
2025-06-06 17:30:48,876 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=1, route1VehicleCount=2, avgRoute0VehicleCount=0.89, avgRoute1VehicleCount=1.11 (at simulation time 90.002,400,000 s)
2025-06-06 17:30:48,876 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=0.89, avgRoute1VehicleCount=1.11 (at simulation time 90.002,400,000 s)
2025-06-06 17:30:48,955 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=2, route1VehicleCount=3, avgRoute0VehicleCount=1.00, avgRoute1VehicleCount=1.30 (at simulation time 100.001,400,000 s)
2025-06-06 17:30:48,955 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.00, avgRoute1VehicleCount=1.30 (at simulation time 100.001,400,000 s)
2025-06-06 17:30:49,029 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=1, route1VehicleCount=4, avgRoute0VehicleCount=1.00, avgRoute1VehicleCount=1.55 (at simulation time 110.001,400,000 s)
2025-06-06 17:30:49,029 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.00, avgRoute1VehicleCount=1.55 (at simulation time 110.001,400,000 s)
2025-06-06 17:30:49,101 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=2, route1VehicleCount=4, avgRoute0VehicleCount=1.08, avgRoute1VehicleCount=1.75 (at simulation time 120.000,400,000 s)
